"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6707","TC_ARD_06: Verify behavior when entering duplicate Role Name","chromium","2026-04-17","passed","2026-04-17","","exp1.spec.ts","",""
"","14394","TC_RLA_02: Verify Roles List table displays records","chromium","2026-04-17","passed","2026-04-17","Role Management - Access Control","exp1.spec.ts","",""
"","5090","TC_RLA_08: Export roles to Excel and verify download","chromium","2026-04-17","passed","2026-04-17","","exp1.spec.ts","",""
"","11788","TC_RLA_01: Verify ""Add New"" button is hidden on Roles List page","chromium","2026-04-17","passed","2026-04-17","Role Management - Access Control","exp1.spec.ts","",""
"","16015","TC_ARD_01: Verify Navigation to Add Role Page","chromium","2026-04-17","passed","2026-04-17","Role Management - Creation Flow","exp1.spec.ts","",""
"","7066","TC_RLA_10: Prevent creating a role with a duplicate name","chromium","2026-04-17","passed","2026-04-17","","exp1.spec.ts","",""
"","9312","TC_ARD_04: Delete a role and verify removal","chromium","2026-04-17","passed","2026-04-17","","exp1.spec.ts","",""
"","2690","TC_EXP_06: Verify loading of Roles List and Assignment as Admin","chromium","2026-04-15","passed","2026-04-15","","exp.spec.ts","",""
"","11532","TC_RLA_03: Verify Edit and Delete actions are restricted","chromium","2026-04-17","passed","2026-04-17","Role Management - Access Control","exp1.spec.ts","",""
"","16014","Login and save session","setup","2026-04-17","passed","2026-04-17","","auth.setup.ts","",""
"","5854","TC_ARD_03: Edit existing role details","chromium","2026-04-17","passed","2026-04-17","","exp1.spec.ts","",""
"","11479","TC_RLA_07: Assign created role to an employee and export list","chromium","2026-04-17","passed","2026-04-17","","exp1.spec.ts","",""
"","5716","TC_RLA_09: Search for a specific role and delete it","chromium","2026-04-17","passed","2026-04-17","","exp1.spec.ts","",""
